hs_code,trade_type,HS_CODE,HS_NAME,BASE_YEAR,BASE_MON,stat_date,TRADE_KRW,WEIGHT_KG,fetched_at
852351,E,,,2024,01,2024-01-01,0.0,0.0,2026-05-16 03:49:47
852351,E,,,2024,02,2024-02-01,0.0,0.0,2026-05-16 03:49:47
